status,seniority,home,time,age,marital,records,job,expenses,income,assets,debt,amount,price
ok,9,rent,60,30,married,no,freelance,73,129.0,0.0,0.0,800,846
ok,17,rent,60,58,widow,no,fixed,48,131.0,0.0,0.0,1000,1658
default,10,owner,36,46,married,yes,freelance,90,200.0,3000.0,0.0,2000,2985
ok,0,rent,60,24,single,no,fixed,63,182.0,2500.0,0.0,900,1325
ok,0,rent,36,26,single,no,fixed,46,107.0,0.0,0.0,310,910
ok,1,owner,60,36,married,no,fixed,75,214.0,3500.0,0.0,650,1645
ok,29,owner,60,44,married,no,fixed,75,125.0,10000.0,0.0,1600,1800
ok,9,parents,12,27,single,no,fixed,35,80.0,0.0,0.0,200,1093
ok,0,owner,60,32,married,no,freelance,90,107.0,15000.0,0.0,1200,1957
default,0,parents,48,41,married,no,partime,90,80.0,0.0,0.0,1200,1468
ok,6,owner,48,34,married,no,freelance,60,125.0,4000.0,0.0,1150,1577
ok,7,owner,36,29,married,no,fixed,60,121.0,3000.0,0.0,650,915
ok,8,owner,60,30,married,no,fixed,75,199.0,5000.0,2500.0,1500,1650
ok,19,private,36,37,married,no,fixed,75,170.0,3500.0,260.0,600,940
default,0,other,18,21,single,yes,partime,35,50.0,0.0,0.0,400,500
ok,0,owner,24,68,married,no,fixed,75,131.0,4162.0,0.0,900,1186
ok,15,private,24,52,single,no,freelance,35,330.0,16500.0,0.0,1500,2201
ok,33,rent,24,68,married,no,freelance,65,200.0,5000.0,2000.0,600,1350
default,0,ignore,48,36,married,no,partime,45,130.0,750.0,0.0,1100,1511
ok,1,parents,60,31,single,no,fixed,35,137.0,0.0,0.0,1250,1253
default,2,rent,60,25,single,no,fixed,46,107.0,0.0,0.0,1500,2189
ok,5,owner,60,22,single,no,fixed,45,324.0,10000.0,0.0,1100,1159
default,1,owner,60,45,married,no,partime,105,112.0,2000.0,500.0,600,1332
ok,27,rent,60,41,married,no,fixed,74,140.0,0.0,0.0,950,1497
ok,26,owner,60,51,married,no,fixed,45,143.0,3500.0,0.0,1350,1357
ok,12,owner,36,54,married,no,fixed,60,130.0,4000.0,0.0,700,2100
ok,19,owner,60,43,single,no,fixed,75,180.0,4000.0,0.0,1000,1070
ok,15,owner,36,43,married,no,fixed,75,251.0,4000.0,0.0,1800,2557
default,3,owner,24,23,married,no,fixed,75,85.0,5000.0,0.0,600,1600
default,0,unk,48,37,single,no,unk,35,,,,1500,1850
ok,4,owner,48,29,married,no,fixed,45,150.0,5000.0,3300.0,1100,1312
